ID_FERTILIZANTE,NOME,PRECO_MEDIO_GALAO_2022,PRECO_MEDIO_GALAO_2023,TIPO,SOLO_RECOMENDADO,INDICACAO_USO,CLASS_TOXICIDADE,TEMPO_LIB_NUTRIENTES,CLASS_SUSTENTAB,CLASS_SOLUBILIDADE,METODO_IRRIGACAO_IDEAL,STATUS_VENDA,Mês,Faturamento
15,RootReviveUltra,221.55,224.85,Mineral,Humoso,Cultivos,Média,Médio,Baixa,Baixa,Aspersão,Ativo,1,51100.0
01,Bio_Grow_Max,176.8,196.85,Sintático,Arenoso,Horticultura,Média,Médio,Média,Baixa,Gotejamento,Ativo,1,16800.0
03,TerraBoost PRO,173.55,204.3,Mineral,Humoso,Cultivos,Baixa,Lento,Alta,Média,Aspersão,Ativo,1,42000.0
14,Plant Pro,209.25,236.9,Orgnânico,Argiloso,Agricultura,Baixa,Lento,Média,Alta,Aspersão,Ativo,1,42900.0
20,AgriNutri,76.25,95.55,Sintático,Arenoso,Horticultura,Baixa,Médio,Média,Baixa,Gotejamento,Ativo,1,15100.0
05,VitalGrow,265.65,259.2,Mineral,Arenoso,Horticultura,Média,Lento,Alta,Alta,Aspersão,Ativo,1,20500.0
08,Plant Vitalize,360.95,387.6,Orgnânico,Argiloso,Cultivos,Baixa,Lento,Alta,Alta,Gotejamento,Ativo,1,51400.0
11,Terra Fusion,163.4,183.1,Mineral,Humoso,Cultivos,Baixa,Lento,Alta,Média,Aspersão,Ativo,1,30900.0
04,GreenGuardian,114.95,121.05,Orgnânico,Arenoso,Horticultura,Baixa,Lento,Média,Alta,Gotejamento,Ativo,1,27900.0
09,AgroBoost,168.15,181.4,Mineral,Humoso,Agricultura,Baixa,Médio,Média,Alta,Aspersão,Ativo,1,48700.0
16,Eco_Growth_Catalyst,60.8,80.15,Sintático,Arenoso,Cultivos,Baixa,Lento,Alta,Média,Gotejamento,Descontinuado,1,23700.0
12,Bloom_Master_Blend,81.3,98.75,Sintático,Argiloso,Agricultura,Alta,Rápido,Baixa,Média,Gotejamento,Ativo,1,20000.0
10,HarvestMax Formula,63.75,98.15,Sintático,Arenoso,Horticultura,Média,Lento,Alta,Média,Aspersão,Descontinuado,1,31500.0
02,NutriVeg Plus,295.15,286.7,Orgnânico,Argiloso,Agricultura,Baixa,Médio,Alta,Alta,Aspersão,Ativo,1,56800.0
15,RootReviveUltra,221.55,224.85,Mineral,Humoso,Cultivos,Média,Médio,Baixa,Baixa,Aspersão,Ativo,2,49600.0
01,Bio_Grow_Max,176.8,196.85,Sintático,Arenoso,Horticultura,Média,Médio,Média,Baixa,Gotejamento,Ativo,2,21200.0
03,TerraBoost PRO,173.55,204.3,Mineral,Humoso,Cultivos,Baixa,Lento,Alta,Média,Aspersão,Ativo,2,41400.0
14,Plant Pro,209.25,236.9,Orgnânico,Argiloso,Agricultura,Baixa,Lento,Média,Alta,Aspersão,Ativo,2,43700.0
20,AgriNutri,76.25,95.55,Sintático,Arenoso,Horticultura,Baixa,Médio,Média,Baixa,Gotejamento,Ativo,2,15700.0
05,VitalGrow,265.65,259.2,Mineral,Arenoso,Horticultura,Média,Lento,Alta,Alta,Aspersão,Ativo,2,32300.0
08,Plant Vitalize,360.95,387.6,Orgnânico,Argiloso,Cultivos,Baixa,Lento,Alta,Alta,Gotejamento,Ativo,2,56200.0
11,Terra Fusion,163.4,183.1,Mineral,Humoso,Cultivos,Baixa,Lento,Alta,Média,Aspersão,Ativo,2,28400.0
