ID_FERTILIZANTE	NOME	PRECO_MEDIO_GALAO_2022	PRECO_MEDIO_GALAO_2023	FATURAMENTO_JAN_23	FATURAMENTO_FEV_23	FATURAMENTO_MAR_23	FATURAMENTO_ABR_23	FATURAMENTO_MAI_23	FATURAMENTO_JUN_23	FATURAMENTO_JUL_23	FATURAMENTO_AGO_23	FATURAMENTO_SET_23	FATURAMENTO_OUT_23	FATURAMENTO_NOV_23	FATURAMENTO_DEZ_23
FRT_IK_15	RootReviveUltra	221,55	224,85	51100	49600	47700	50500	49700		47700	46200	44700	43000	43800	42400
FRT_IK_01	Bio_Grow_Max	176,8	196,85	16800	21200	30300	36100	43800	53300	50800	59400	65200	72300	69400	73600
FRT_IK_03	TerraBoost PRO	173,55	204,3	42000	41400		56000	52500	59800	55600	58200	49700	49200	45000	53600
FRT_IK_14	Plant Pro	209.25	236.9	42900	43700	44700	44200	45000	45900	45000	45000	45100	44800	44000	43100
FRT_IK_20	AgriNutri	76,25	95,55	15100	15700	16700	17700	17000	16200	18000	16500	17300	17600	16300	13600
FRT_IK_05	VitalGrow	265,65	259,2	20500	32300	25000	37600	37800	40400	50300	43600	51600	58600	68300	72500
FRT_IK_08	Plant Vitalize	360,95	387,6	51400	56200	67300	69500	66700	77300	78200	69600	74300	80700	82100	86500
FRT_IK_11	Terra Fusion	163,4	183,1	30900	28400	24800	29900	36900	33900	31500	38800	45800	52200	50800	44700
FRT_IK_04	GreenGuardian  	114,95	121,05	27900	29600	30600	30800	31900	30300	29900	29500	28600	29300	28800	29100
FRT_IK_09	AgroBoost	168,15	181,4	48700	45400	39400	36100	38000	33300	34100	32800	36000	37500	36100	32200
FRT_IK_16	Eco_Growth_Catalyst	60.8	80.15	23700	27000	22400	21300	17900	17300	15600	15200	20000	15400	12500	4200
FRT_IK_12	Bloom_Master_Blend	81.3	98.75	20000	23400	19500	20300	22900	26600	26700	279000	25400	26600	24000	21700
FRT_IK_10	HarvestMax Formula	63,75	98,15	31500	27300	22300	18000	15800	10800	6700	2100	0	0	0	0
FRT_IK_02	NutriVeg Plus	295,15	286,7	56800	56100	56600	60300	61200	64000	67500	67600	69900	70600	73100	74400
